Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Kalium,Klorid,Kalcium,Fluorid,Magnesium,Natrium,Vitamin B12,Vitamin B6,Vitamin C,Riboflavin,Niacin,Pantotensyra,Biotin,Krom,Fiber,Folsyra,Vitamin D,Vitamin E,Selen,Zink,Fosfor,Koppar,Järn,Mangan,Varav polyoler,Vitamin A,Tiamin,Citronsyra,url
Cider Päron Alkoholfri 33cl Somersby,"16,90 kr","0.33L 51,21 kr/l",43 kcal,181 kJ,0 g,0 g,10.2 g,9.9 g,0 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cider-p%C3%A4ron-alkoholfri-33cl-somersby/2031074
Svart Te Yellow label 25-p Lipton,"22,90 kr","25 per frp 0,92 kr/st",4 kcal,17 kJ,0.5 g,0.1 g,0.5 g,0.5 g,0.5 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/svart-te-yellow-label-25-p-lipton/2099665
Vätskeersättning Rehydrate Citron Lime 500ml HYD,"29,90 kr","0.5L 59,80 kr/l exkl pant",15 kcal,66 kJ,0 g,0 g,3.4 g,3.4 g,0 g,0.16 g,,,,,11.3 mg,,,0.11 mg,,,1.2 mg,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/v%C3%A4tskeers%C3%A4ttning-rehydrate-citron-lime-500ml-hyd/2105779
Äpple kanel & russin te 25-p Twinings,"43,90 kr","25 per frp 1,76 kr/st",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%A4pple-kanel-russin-te-25-p-twinings/1487007
Havtornsdryck Ekologisk 1l KRAV Finnerödja,"41,90 kr","1L 41,90 kr/l",49 kcal,206 kJ,0.8 g,0.1 g,9.2 g,9.1 g,0.1 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havtornsdryck-ekologisk-1l-krav-finner%C3%B6dja/1506293
Iskaffe Caffe latte 220ml Starbucks®,"26,90 kr","0.22L 122,27 kr/l",70 kcal,293 kJ,2.4 g,1.5 g,8.7 g,8.2 g,2.8 g,0.09 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/iskaffe-caffe-latte-220ml-starbucks/1429697
Fruktdryck Blodapelsin Äpple 1000ml God Morgon,"48,90 kr","1L 48,90 kr/l",42 kcal,176 kJ,0 g,0 g,9.1 g,8.6 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-blodapelsin-%C3%A4pple-1000ml-god-morgon/2151620
Bryggkaffe Mellanrost 450g Löfbergs,"88,00 kr","0.45kg 195,56 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bryggkaffe-mellanrost-450g-l%C3%B6fbergs/2128931
Äppeljuice Cloudy 1l ICA,"39,90 kr","1L 39,90 kr/l exkl pant",45 kcal,190 kJ,0.1 g,0 g,10 g,9.9 g,0.1 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%A4ppeljuice-cloudy-1l-ica/2038424
Blandsaft Svartvinbär Högkoncentrerat 1l ICA,"52,00 kr","8L 6,50 kr/l exkl pant",30 kcal,120 kJ,0 g,0 g,6.5 g,6.5 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/blandsaft-svartvinb%C3%A4r-h%C3%B6gkoncentrerat-1l-ica/1521371
Iskaffe ICE Salted Caramel 230ml Löfbergs,"25,90 kr","0.23L 112,61 kr/l",73 kcal,309 kJ,2.4 g,1.5 g,9.8 g,9.3 g,3.1 g,0.26 g,,,,,,,,,,,,,,,0.2 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/iskaffe-ice-salted-caramel-230ml-l%C3%B6fbergs/2080505
Smoothie Blåbär Hallon Svarta vinbär 300ml Brämhults,"36,90 kr","0.3L 123,00 kr/l exkl pant",54 kcal,226 kJ,0 g,0 g,12 g,11 g,0.6 g,0.01 g,,,,,,,,,85 mg,,,,,,1 g,,,1.8 mg,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/smoothie-bl%C3%A5b%C3%A4r-hallon-svarta-vinb%C3%A4r-300ml-br%C3%A4mhults/2063033
Blandsaft Päron Högkoncentrerat 1l ICA,"41,90 kr","8L 5,24 kr/l exkl pant",26 kcal,110 kJ,0 g,0 g,6.4 g,6.4 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/blandsaft-p%C3%A4ron-h%C3%B6gkoncentrerat-1l-ica/1521372
Blandsaft Hallon Högkoncentrerat 1l ICA,"53,00 kr","8L 6,63 kr/l exkl pant",25 kcal,105 kJ,0 g,0 g,6.1 g,6.1 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/blandsaft-hallon-h%C3%B6gkoncentrerat-1l-ica/1521369
Kaffekapslar Lungo 8 Profondo 10-p L'OR,"55,00 kr","10 per frp 5,50 kr/st",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kaffekapslar-lungo-8-profondo-10-p-l-or/2022068
Te Svart Chai Pyramid 20p Lipton,"31,90 kr","20 per frp 1,60 kr/st",4 kcal,17 kJ,0.5 g,0.1 g,0.5 g,0.5 g,0.5 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/te-svart-chai-pyramid-20p-lipton/2139053
Energidryck 35cl Red Bull,"22,90 kr","0.355L 64,51 kr/l exkl pant",46 kcal,194 kJ,0 g,0 g,11 g,11 g,0 g,0.1 g,,,,,,,2 µg,2 mg,,,8 mg,2 mg,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-35cl-red-bull/1400367
Bryggkaffe El-brygg Mellanrost 450g Gevalia,"95,00 kr","0.45kg 211,11 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bryggkaffe-el-brygg-mellanrost-450g-gevalia/2002412
Lightdryck Strawberry Sockerfri 1l Fun Light,"38,90 kr","10L 3,89 kr/l exkl pant",1 kcal,4 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lightdryck-strawberry-sockerfri-1l-fun-light/1512960
Cider Alkoholfri 0.5% Rosé 33cl Briska,"16,90 kr","0.33L 51,21 kr/l exkl pant",47 kcal,195 kJ,0 g,0 g,11.5 g,11.5 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cider-alkoholfri-0-5-ros%C3%A9-33cl-briska/2155097
Three ginger te Ekologisk 20-p Pukka,"49,90 kr","20 per frp 2,50 kr/st",4 kcal,17 kJ,0.5 g,0.5 g,0.5 g,0.5 g,0.5 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/three-ginger-te-ekologisk-20-p-pukka/1499336
Energidryck Juicy Breeze 33cl Nocco,"26,90 kr","0.33L 81,52 kr/l exkl pant",5 kcal,23 kJ,0 g,0 g,0 g,0 g,0.9 g,0 g,,,,,,,0.76 µg,0.42 mg,,,3.9 mg,,15 µg,,0 g,30 µg,1.5 µg,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-juicy-breeze-33cl-nocco/2094031
Cider Alkoholfri 0.5% Fläder 33cl Briska,"16,90 kr","0.33L 51,21 kr/l exkl pant",37 kcal,155 kJ,0 g,0 g,8.5 g,8.5 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cider-alkoholfri-0-5-fl%C3%A4der-33cl-briska/2155094
Äppeljuice Koncentrat 2dl ICA,"17,90 kr","1L 17,90 kr/l drickklar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%A4ppeljuice-koncentrat-2dl-ica/1411007
Bryggkaffe Mellanrost perfekt med mjölk 450g Löfbergs,"88,00 kr","0.45kg 195,56 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bryggkaffe-mellanrost-perfekt-med-mj%C3%B6lk-450g-l%C3%B6fbergs/2012278
"Energidryck Citron Lime 35,5cl Celsius","27,90 kr","0.355L 78,59 kr/l exkl pant",1 kcal,4 kJ,0 g,0 g,0 g,0 g,0 g,0.08 g,,,,,,,1.7 µg,0.6 mg,17 mg,0.5 mg,5.6 mg,2.8 mg,85 µg,14 µg,0.5 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-citron-lime-35-5cl-celsius/1468584
Vatten Kolsyrad Hallon & björnbär 50cl Bonaqua silver,"15,90 kr","0.5L 31,80 kr/l exkl pant",10 kcal,43 kJ,0 g,0 g,2.3 g,2.3 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vatten-kolsyrad-hallon-bj%C3%B6rnb%C3%A4r-50cl-bonaqua-silver/1521492
Tonic water Indian 20cl Britvic,"20,90 kr","0.2L 104,50 kr/l",24 kcal,104 kJ,0 g,0 g,5.8 g,5.8 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tonic-water-indian-20cl-britvic/1531730
Läsk Pepsi 50cl,"18,90 kr","0.5L 37,80 kr/l exkl pant",28 kcal,120 kJ,0 g,0 g,7 g,7 g,0 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-pepsi-50cl/2084375
"Vatten Stilla 1,5l ICA","11,90 kr","1.5L 7,93 kr/l exkl pant",,,,,,,,,5 mg,49 mg,65 mg,1.3 mg,15 mg,21 mg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vatten-stilla-1-5l-ica/2023834
Läsk Dr Pepper 50cl,"20,90 kr","0.5L 41,80 kr/l exkl pant",41 kcal,173 kJ,0 g,0 g,10.1 g,10 g,0 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-dr-pepper-50cl/1360420
Lightdryck Pink Lemon Sockerfri 1l Fun Light,"38,90 kr","10L 3,89 kr/l exkl pant",1 kcal,5 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lightdryck-pink-lemon-sockerfri-1l-fun-light/2051874
Lightdryck Cactus Apple Sockerfri 1l Fun Light,"38,90 kr","10L 3,89 kr/l exkl pant",1 kcal,4 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lightdryck-cactus-apple-sockerfri-1l-fun-light/2090494
Iskaffe Classics Caffe Latte 220ml Starbucks®,"26,90 kr","0.22L 122,27 kr/l",69 kcal,290 kJ,2.3 g,1.5 g,8.8 g,8.4 g,2.8 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/iskaffe-classics-caffe-latte-220ml-starbucks/2169130
Öl Alkoholfri 33cl Mariestads,"15,90 kr","0.33L 48,18 kr/l",20 kcal,80 kJ,0.5 g,0.5 g,3.8 g,0.5 g,0.5 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-alkoholfri-33cl-mariestads/1432362
Energidryck 25cl Red Bull,"17,90 kr","0.25L 71,60 kr/l exkl pant",46 kcal,195 kJ,0 g,0 g,11 g,11 g,0 g,0.1 g,,,,,,,2 µg,2 mg,,,8 mg,2 mg,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-25cl-red-bull/1395823
"Öl 3,5% 33cl Staropramen","21,90 kr","0.33L 66,36 kr/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-3-5-33cl-staropramen/1291279
Bryggkaffe Prezzo Mellanrost 450g Löfbergs,"89,00 kr","0.45kg 197,78 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bryggkaffe-prezzo-mellanrost-450g-l%C3%B6fbergs/2032518
Tranbärsdryck 1l Jokk,"42,90 kr","1L 42,90 kr/l",44 kcal,186 kJ,0 g,0 g,11 g,11 g,0 g,0 g,,,,,,,,,40 mg,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tranb%C3%A4rsdryck-1l-jokk/2107607
Juice Tropical 1l God Morgon®,"35,90 kr","1L 35,90 kr/l",45 kcal,189 kJ,0 g,0 g,11 g,10 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-tropical-1l-god-morgon/2075527
"Öl 3,5% 50cl 6-p Carlsberg","99,00 kr","3L 33,00 kr/l exkl pant",30 kcal,127 kJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-3-5-50cl-6-p-carlsberg/1399901
Protein Coffee Caramel Hazelnut 330ml Starbucks®,"32,90 kr","0.33L 99,70 kr/l",51 kcal,215 kJ,1.1 g,0.7 g,4 g,3.8 g,6.1 g,0.13 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/protein-coffee-caramel-hazelnut-330ml-starbucks/2151763
Grönt te Mango & lychee 25-p Twinings,"43,90 kr","25 per frp 1,76 kr/st",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%B6nt-te-mango-lychee-25-p-twinings/1508112
"Läsk 1,5l Sprite","27,90 kr","1.5L 18,60 kr/l exkl pant",37 kcal,158 kJ,0 g,0 g,9 g,9 g,0 g,0.03 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-1-5l-sprite/2052090
Läsk Cola Koffeinfri 33cl Coca-Cola,"13,90 kr","0.33L 42,12 kr/l exkl pant",0.3 kcal,1.4 kJ,0 g,0 g,0 g,0 g,0 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-cola-koffeinfri-33cl-coca-cola/2090220
Äppel apelsin & passionsfruktjuice Koncentrat 2dl ICA,"16,90 kr","1L 16,90 kr/l drickklar",44 kcal,184 kJ,0.5 g,0 g,11 g,11 g,0.5 g,0 g,,,,,,,,,11 mg,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%A4ppel-apelsin-passionsfruktjuice-koncentrat-2dl-ica/1411005
Tonic Bitter Ekologisk 20cl Ekobryggeriet,"22,90 kr","0.2L 114,50 kr/l",41 kcal,173 kJ,0.5 g,0.5 g,9.9 g,9.9 g,0.5 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tonic-bitter-ekologisk-20cl-ekobryggeriet/2010754
Sparkling drink Aranciata 6-p 33cl San Pellegrino,"81,00 kr","1.98L 40,91 kr/l exkl pant",35 kcal,149 kJ,0 g,0 g,8.1 g,8.1 g,0.1 g,0 g,,,,,,,,,,,,,,,0 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sparkling-drink-aranciata-6-p-33cl-san-pellegrino/2094884
Te Svart Peach mango Pyramid 20p Lipton,"31,90 kr","20 per frp 1,60 kr/st",4 kcal,17 kJ,0.5 g,0.1 g,0.5 g,0.5 g,0.5 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/te-svart-peach-mango-pyramid-20p-lipton/2139049
Läsk Pepsi Max Lime 33cl Pepsi,"11,90 kr","0.33L 36,06 kr/l exkl pant",0.7 kcal,3 kJ,0 g,0 g,0.1 g,0 g,0.1 g,0.03 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-pepsi-max-lime-33cl-pepsi/2094043
Energidryck 50cl Monster Energy,"21,90 kr","0.5L 43,80 kr/l exkl pant",47 kcal,201 kJ,0 g,0 g,12 g,11 g,0 g,0.19 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-50cl-monster-energy/1404219
Läsk Cola Vanilj Zero 33cl Coca-Cola,"13,90 kr","0.33L 42,12 kr/l exkl pant",0.3 kcal,1.3 kJ,0 g,0 g,0 g,0 g,0 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-cola-vanilj-zero-33cl-coca-cola/2052112
Vätskeersättning med hallonsmak 2-p 20st 90g Resorb,"70,00 kr","20 per frp 3,50 kr/st",,,,,6.4 g,6.2 g,,,170 mg,190 mg,,,,180 mg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/v%C3%A4tskeers%C3%A4ttning-med-hallonsmak-2-p-20st-90g-resorb/1388716
Vatten Kolsyrad Päron Äpple 150cl ICA,"11,90 kr","1.5L 7,93 kr/l exkl pant",,,,,,,,,5 mg,49 mg,65 mg,1.3 mg,15 mg,21 mg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vatten-kolsyrad-p%C3%A4ron-%C3%A4pple-150cl-ica/2023845
Läsk Zero 1.5l Champis,"24,90 kr","1.5L 16,60 kr/l exkl pant",1 kcal,3 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-zero-1-5l-champis/2132444
Tranbärsdryck Ekologisk 1l KRAV Finnerödja,"37,90 kr","1L 37,90 kr/l",37 kcal,156 kJ,0 g,0 g,8.4 g,8.4 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tranb%C3%A4rsdryck-ekologisk-1l-krav-finner%C3%B6dja/1506291
Bryggkaffe 500g ICA Basic,"78,00 kr","0.5kg 156,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bryggkaffe-500g-ica-basic/1473334
Fruktdryck Päron 3-p 60cl ICA,"13,90 kr","0.6L 23,17 kr/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-p%C3%A4ron-3-p-60cl-ica/2009986
Citron måltidsdryck 2dl ICA,"8,90 kr","1L 8,90 kr/l drickklar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/citron-m%C3%A5ltidsdryck-2dl-ica/1514881
Läsk Cola Vanilj 50cl Coca-Cola,"19,90 kr","0.5L 39,80 kr/l exkl pant",43 kcal,181 kJ,0 g,0 g,10.6 g,10.6 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-cola-vanilj-50cl-coca-cola/2140563
Iskaffe Frappuccino Mocha 250ml Starbucks®,"29,90 kr","0.25L 119,60 kr/l",67 kcal,282 kJ,1.6 g,1 g,10 g,9.5 g,2.9 g,0.09 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/iskaffe-frappuccino-mocha-250ml-starbucks/2058105
"Öl 2,8% 50cl 6-p Mariestads","59,00 kr","3L 19,67 kr/l exkl pant",31 kcal,131 kJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-2-8-50cl-6-p-mariestads/1477516
"Läsk Dr Pepper 1,5l","37,90 kr","1.5L 25,27 kr/l exkl pant",41 kcal,173 kJ,0 g,0 g,10.1 g,10 g,0 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-dr-pepper-1-5l/1395947
Smoothie Recharge 300ml Innocent,"33,90 kr","0.3L 113,00 kr/l exkl pant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/smoothie-recharge-300ml-innocent/2057758
Kaffekapslar Lungo 5 Mattinata 10-p L'Or,"55,00 kr","10 per frp 5,50 kr/st",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kaffekapslar-lungo-5-mattinata-10-p-l-or/2022105
"Öl Ljus lager Ekologisk 3,5% 33cl Norrlands Guld","17,90 kr","0.33L 54,24 kr/l exkl pant",33 kcal,137 kJ,0.5 g,0.5 g,2.8 g,0.5 g,0.5 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-ljus-lager-ekologisk-3-5-33cl-norrlands-guld/2140237
Fruktdryck Mango 1l Proviva,"43,90 kr","1L 43,90 kr/l",42 kcal,180 kJ,0.1 g,0 g,10 g,9.5 g,0.2 g,0.03 g,,,,,,,,,35 mg,,,,,,0.5 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-mango-1l-proviva/2038955
"Öl Lager 3,5% 50cl Heineken","20,90 kr","0.5L 41,80 kr/l exkl pant",29 kcal,122 kJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-lager-3-5-50cl-heineken/1397577
Apelsinjuice Nypressad 1l ICA Selection,"61,00 kr","1L 61,00 kr/l exkl pant",41 kcal,174 kJ,0.5 g,0.5 g,9 g,9 g,0.7 g,0 g,,,,,,,,,25 mg,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/apelsinjuice-nypressad-1l-ica-selection/2030534
Läsk Pepsi Max Mango 50cl,"16,90 kr","0.5L 33,80 kr/l exkl pant",0.5 kcal,2 kJ,0 g,0 g,0.1 g,0 g,0.1 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-pepsi-max-mango-50cl/2084369
Läsk Sprite Zero 50cl,"19,90 kr","0.5L 39,80 kr/l exkl pant",1 kcal,5 kJ,0 g,0 g,0 g,0 g,0 g,0.03 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-sprite-zero-50cl/2052352
Saft Light Sunny Smultron 1l Fun Light,"38,90 kr","10L 3,89 kr/l exkl pant",1 kcal,4 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/saft-light-sunny-smultron-1l-fun-light/2150531
Vitamindryck Zero Lemon 50cl Vitamin Well,"26,90 kr","0.5L 53,80 kr/l exkl pant",1 kcal,6 kJ,0 g,0 g,1.4 g,0 g,0 g,0.02 g,,,,,,,0.25 µg,0.28 mg,,,1.6 mg,0.48 mg,5 µg,,,,0.8 µg,1.4 mg,,,,,,,1.2 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vitamindryck-zero-lemon-50cl-vitamin-well/2155315
Örtte Nypon 25-p Friggs,"47,90 kr","20 per frp 2,40 kr/st",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6rtte-nypon-25-p-friggs/1005599
Läsk 50cl Trocadero,"18,90 kr","0.5L 37,80 kr/l exkl pant",40 kcal,170 kJ,0 g,0 g,9.6 g,9.5 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-50cl-trocadero/2004744
Lightdryck Iste & persika 1l ICA,"31,90 kr","10L 3,19 kr/l exkl pant",1 kcal,3 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lightdryck-iste-persika-1l-ica/2023958
Ananasdryck Drickfärdig 1l Fontana,"31,90 kr","1L 31,90 kr/l",55 kcal,232 kJ,0.5 g,0 g,11.8 g,10.5 g,0.5 g,0.01 g,,,,,,,,,22 mg,,,,,,0.5 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/ananasdryck-drickf%C3%A4rdig-1l-fontana/1329315
Snabbkaffe Gold Organic 175g Nescafe,"150,00 kr","0.175kg 857,14 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/snabbkaffe-gold-organic-175g-nescafe/2129022
Smoothie Persika & Passion 250ml Froosh,"20,00 kr","0.25L 80,00 kr/l",68 kcal,288 kJ,0 g,0 g,15 g,12 g,0.8 g,0 g,,,,,,,,,,,,,,,1.1 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/smoothie-persika-passion-250ml-froosh/2018605
Lättdryck Fläderblom Koncentrat 2dl BOB,"11,90 kr","1L 11,90 kr/l drickklar",30 kcal,120 kJ,0 g,0 g,6.3 g,6 g,0 g,0 g,,,,,,,,,12 mg,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4ttdryck-fl%C3%A4derblom-koncentrat-2dl-bob/1023241
Energidryck Mango Loco 50cl Monster Energy,"21,90 kr","0.5L 43,80 kr/l exkl pant",,,,,,,,,,,,,,,2.5 µg,0.8 mg,,0.7 mg,8.5 mg,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-mango-loco-50cl-monster-energy/2016784
Smoothie Energi Frukt & Grönt 300ml Brämhults,"36,90 kr","0.3L 123,00 kr/l exkl pant",56 kcal,235 kJ,0 g,0 g,13 g,12 g,0.5 g,0.01 g,,,,,,,,,40 mg,,,,,,0.8 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/smoothie-energi-frukt-gr%C3%B6nt-300ml-br%C3%A4mhults/2062998
