Name,Price,Size,Energi (kcal),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Fiber,Protein,Salt,Vitamin B12,Järn,Energi (kJ),Vitamin D,Riboflavin,Kalcium,Jod,Folsyra,Varav enkelomättat fett,Varav polyoler,Natrium,Varav fleromättat fett,Vitamin A,Magnesium,Zink,Vitamin E,Vitamin B6,url
Pålägg Naturell växtbaserat 150g Oatly,"29,90 kr","0.15kg 199,33 kr/kg",234 kcal,20 g,8 g,9.9 g,3.6 g,0.9 g,3.2 g,0.72 g,,,970 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/p%C3%A5l%C3%A4gg-naturell-v%C3%A4xtbaserat-150g-oatly/1499004
Havregurt Naturell 3% 1l Oatly,"42,90 kr","1kg 42,90 kr/kg",82 kcal,3 g,0.3 g,12 g,4.4 g,0.9 g,1.4 g,0.1 g,0.38 µg,,346 kJ,1.1 µg,0.21 mg,144 mg,22.5 µg,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havregurt-naturell-3-1l-oatly/1471189
Smörgåsmargarin bredbart 70% 400g Carlshamn,"28,90 kr","0.4kg 72,25 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sm%C3%B6rg%C3%A5smargarin-bredbart-70-400g-carlshamn/1479672
"Havredryck Choklad 1,5% 250ml Oatly","9,90 kr","0.25L 39,60 kr/l",65 kcal,1.5 g,0.2 g,11 g,6.8 g,1.1 g,1.3 g,0.16 g,0.38 µg,,273 kJ,1.1 µg,0.21 mg,120 mg,22.5 µg,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-choklad-1-5-250ml-oatly/1422175
"Havredryck Barista Delight Glutenfri 1,5% 1000ml Oddlygood®","24,90 kr","1L 24,90 kr/l",43 kcal,1.5 g,0.2 g,6.3 g,3.1 g,,1.1 g,0.08 g,0.4 µg,,181 kJ,1 µg,0.21 mg,120 mg,22.5 µg,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-barista-delight-glutenfri-1-5-1000ml-oddlygood/2169072
Plant based 145g Philadelphia,"36,90 kr","0.145kg 254,48 kr/kg",218 kcal,21 g,17 g,2.2 g,1.2 g,1.5 g,3.3 g,0.76 g,,,899 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/plant-based-145g-philadelphia/2108570
Sojadryck Naturell 1l ICA I love eco,"25,90 kr","1L 25,90 kr/l",42 kcal,2.3 g,0.3 g,0.9 g,0.8 g,0.6 g,4 g,0.03 g,,,173 kJ,,,,,,0.5 g,,,1.4 g,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sojadryck-naturell-1l-ica-i-love-eco/1499002
Havredryck Barista 1l ICA,"21,90 kr","1L 21,90 kr/l",62 kcal,3 g,0.3 g,7.5 g,4 g,0.5 g,0.8 g,0.1 g,0.38 µg,,259 kJ,1.1 g,0.21 mg,120 mg,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-barista-1l-ica/2090748
Ostbitar Camembert bites Fryst 220g Lindströms Bites,"38,90 kr","0.22kg 176,82 kr/kg",286 kcal,14 g,8 g,29 g,1 g,,12 g,2.4 g,,,1206 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/ostbitar-camembert-bites-fryst-220g-lindstr%C3%B6ms-bites/2018373
Svensk Ärtfalafel 400g Peas of Heaven,"42,90 kr","0.4kg 107,25 kr/kg",250 kcal,13 g,1.1 g,22 g,1.7 g,5.3 g,9.5 g,1.9 g,,,1060 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/svensk-%C3%A4rtfalafel-400g-peas-of-heaven/2130836
Vegoschnitzel Glutenfri 750g Anamma,"114,00 kr","0.75kg 152,00 kr/kg",228 kcal,13 g,1 g,13 g,0.9 g,4.4 g,12 g,1 g,,,955 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vegoschnitzel-glutenfri-750g-anamma/2054869
Havredyck iKaffe Caramel 1000ml Oatly,"32,90 kr","1L 32,90 kr/l",70 kcal,3.2 g,0.3 g,8.8 g,5.1 g,0.8 g,1.1 g,0.1 g,0.24 µg,,293 kJ,0.5 µg,0.21 mg,120 mg,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredyck-ikaffe-caramel-1000ml-oatly/2151425
"Mandeldryck Rostad 1,1% 1l Alpro","33,90 kr","1L 33,90 kr/l",22 kcal,1.1 g,0.1 g,3 g,3 g,0.4 g,0.4 g,0.14 g,0.38 µg,,93 kJ,0.75 µg,0.21 mg,120 mg,,,0.7 g,0.3 g,0.06 g,,,,,1.8 mg,,https://handlaprivatkund.ica.se/stores/1004181/products/mandeldryck-rostad-1-1-1l-alpro/1427987
Havredryck Iskaffe Mocha Brownie Glutenfri 250ml Oddlygood®,"19,90 kr","0.25L 79,60 kr/l",58 kcal,1.5 g,0.2 g,9.9 g,5.7 g,,1.3 g,0.13 g,0.4 µg,,246 kJ,1 µg,0.21 mg,120 mg,22.5 µg,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-iskaffe-mocha-brownie-glutenfri-250ml-oddlygood/2151901
Grill spice chunk 280g Oumph,"55,00 kr","0.28kg 196,43 kr/kg",120 kcal,4 g,0.4 g,2.2 g,1.4 g,5.5 g,16 g,1.6 g,,3 mg,501 kJ,,,,,49.4 µg,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/grill-spice-chunk-280g-oumph/2094010
Mandeldryck Naturell 1l ICA I love eco,"31,90 kr","1L 31,90 kr/l",,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mandeldryck-naturell-1l-ica-i-love-eco/1527962
Vegopålägg Block Plant Based 250g Oddlygood,"37,90 kr","0.25kg 151,60 kr/kg",292 kcal,23 g,15 g,20 g,0 g,,1.1 g,1.5 g,1.7 µg,,1213 kJ,4 µg,0.9 mg,120 mg,87 µg,,5.1 g,,,2.4 g,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vegop%C3%A5l%C3%A4gg-block-plant-based-250g-oddlygood/2141679
"Havremellanmål Proteingurt Citrus Glutenfri 1,7% 400g Oddlygood®","31,90 kr","0.4kg 79,75 kr/kg",92 kcal,1.7 g,0.7 g,13 g,8.5 g,,4.7 g,0.12 g,0.4 µg,,382 kJ,1 µg,0.21 mg,120 mg,22.5 µg,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havremellanm%C3%A5l-proteingurt-citrus-glutenfri-1-7-400g-oddlygood/2151544
Havredryck iKaffe Barista 3% 1l Oatly,"25,90 kr","1L 25,90 kr/l",,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-ikaffe-barista-3-1l-oatly/2107755
Ärtdryck Barista 1000ml Sproud,"26,90 kr","1L 26,90 kr/l",40 kcal,3 g,0.2 g,1.9 g,1.9 g,,2 g,0.12 g,0.38 µg,,180 kJ,1 µg,0.21 mg,120 mg,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%A4rtdryck-barista-1000ml-sproud/2033284
