Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Vitamin B12,Vitamin D,Kalcium,Varav fleromättat fett,Varav enkelomättat fett,Vitamin A,Fiber,Vitamin C,Riboflavin,Jod,Pantotensyra,Kalium,Klorid,Fosfor,Molybden,Vitamin K,Natrium,Vitamin E,Magnesium,Selen,Zink,Folsyra,Järn,Vitamin B6,Niacin,Biotin,Tiamin,Varav polyoler,url
Tranbärsdryck Koncentrat 250ml Jokk,"38,90 kr","1L 38,90 kr/l drickklar",60 kcal,230 kJ,0 g,0 g,13 g,13 g,0 g,0 g,,,,,,,,50 mg,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tranb%C3%A4rsdryck-koncentrat-250ml-jokk/1269610
"Yoghurt Mini Jordgubb 0,1% 1000g Yoggi®","35,90 kr","1kg 35,90 kr/kg",36 kcal,154 kJ,0.1 g,0.1 g,4.5 g,3.8 g,3.5 g,0.1 g,,0.88 µg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/yoghurt-mini-jordgubb-0-1-1000g-yoggi/2044846
Kvarg Apelsin & Choklad Laktosfri 200g Valio,"20,90 kr","0.2kg 104,50 kr/kg",167 kcal,699 kJ,8 g,4.8 g,16 g,15 g,7.3 g,0.06 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kvarg-apelsin-choklad-laktosfri-200g-valio/2151727
Havregurt Vanilj 2% 1l Oatly,"42,90 kr","1kg 42,90 kr/kg",86 kcal,360 kJ,2.1 g,0.2 g,15.1 g,8.3 g,1.1 g,0.06 g,0.38 µg,1.1 µg,146 mg,,,,0.9 g,,0.21 mg,22.5 µg,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havregurt-vanilj-2-1l-oatly/2004528
Proteindryck Vanilla High Protein 250ml Gainomax,"28,90 kr","0.25L 115,60 kr/l",67 kcal,283 kJ,0.5 g,0.2 g,3.7 g,3.7 g,12 g,0.18 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/proteindryck-vanilla-high-protein-250ml-gainomax/2149785
Hallonjuice 850ml Brämhults,"54,00 kr","0.85L 63,53 kr/l exkl pant",43 kcal,180 kJ,0 g,0 g,9.9 g,9.8 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/hallonjuice-850ml-br%C3%A4mhults/2062848
Fruktdryck Vitt te Äpple Rabarber 850ml God Morgon®,"37,90 kr","0.85L 44,59 kr/l",23 kcal,96 kJ,0 g,0 g,5.3 g,5.1 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-vitt-te-%C3%A4pple-rabarber-850ml-god-morgon/2141255
"Havredryck Naturell 1,5% 1l Oatly","26,90 kr","1L 26,90 kr/l",48 kcal,201 kJ,1.5 g,0.2 g,7.1 g,3.4 g,1.1 g,0.1 g,0.38 µg,1.1 µg,120 mg,,,,0.8 g,,0.21 mg,22.5 µg,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-naturell-1-5-1l-oatly/2023907
Apelsinjuice med fruktkött 1l ICA,"42,90 kr","1L 42,90 kr/l exkl pant",44 kcal,186 kJ,0.2 g,0.1 g,9.1 g,9.1 g,0.7 g,0 g,,,,,,,,25 mg,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/apelsinjuice-med-fruktk%C3%B6tt-1l-ica/2038422
Parmesanost Parmigiano Reggiano finriven 100 g Zeta,"64,00 kr","0.1kg 640,00 kr/kg",402 kcal,1671 kJ,30 g,20 g,0 g,0 g,32 g,1.6 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/parmesanost-parmigiano-reggiano-finriven-100-g-zeta/2134269
Yoghurt Original Madagaskar Vanilj 2% 1000g Yoggi®,"36,90 kr","1kg 36,90 kr/kg",80 kcal,320 kJ,2 g,1.2 g,11 g,9.9 g,3.3 g,0.1 g,,0.93 µg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/yoghurt-original-madagaskar-vanilj-2-1000g-yoggi/1373614
Feta 24 % Laktosfri 150g Fontana,"36,90 kr","0.15kg 246,00 kr/kg",278 kcal,1163 kJ,23 g,13.7 g,0.7 g,0.7 g,17 g,2.5 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/feta-24-laktosfri-150g-fontana/1506652
Vaniljsås 10% 250ml Oatly,"15,90 kr","0.25L 63,60 kr/l",168 kcal,700 kJ,11 g,6.2 g,16 g,13 g,0.8 g,0.14 g,,,,,,,0.9 g,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vaniljs%C3%A5s-10-250ml-oatly/1270701
Tranbärsdryck Classic 1l Ocean Spray,"35,90 kr","1L 35,90 kr/l",50 kcal,211 kJ,0 g,0 g,12.6 g,11.6 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tranb%C3%A4rsdryck-classic-1l-ocean-spray/2024043
Kvarg Hallon & Blåbär Laktosfri 7% 200g Valio,"20,90 kr","0.2kg 104,50 kr/kg",153 kcal,643 kJ,7 g,4.1 g,15 g,15 g,7.2 g,0.11 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kvarg-hallon-bl%C3%A5b%C3%A4r-laktosfri-7-200g-valio/1493419
Vispgrädde Laktosfri 36% 5dl Arla®,"49,90 kr","0.5L 99,80 kr/l",346 kcal,1423 kJ,36 g,23 g,3.1 g,3 g,2.3 g,0.06 g,,,,,,309 µg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vispgr%C3%A4dde-laktosfri-36-5dl-arla/2107524
Färskost creamy garlic herbs växtbaserad 150g Violife,"36,90 kr","0.15kg 246,00 kr/kg",883 kcal,214 kJ,20 g,18 g,7.7 g,1.5 g,0.3 g,2 g,2.5 µg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/f%C3%A4rskost-creamy-garlic-herbs-v%C3%A4xtbaserad-150g-violife/2099922
Mat & bakmargarin 80% 1000g ICA,"41,90 kr","1kg 41,90 kr/kg",700 kcal,2950 kJ,80 g,27 g,0.5 g,0.5 g,0.5 g,1.5 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mat-bakmargarin-80-1000g-ica/1309523
"Havredryck Naturell 1,5% 1l ICA","25,90 kr","1L 25,90 kr/l",48 kcal,201 kJ,1.5 g,0.2 g,7.1 g,3.4 g,1.1 g,0.1 g,0.38 µg,1.1 µg,120 mg,,,,0.8 g,,0.21 mg,23 µg,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-naturell-1-5-1l-ica/2038416
"Filmjölk Onaka Naturell 1,5% 1000g Arla Cultura®","29,90 kr","1kg 29,90 kr/kg",47 kcal,197 kJ,1.5 g,1 g,3.8 g,3.8 g,3.8 g,0.09 g,,1 µg,123 mg,,,,,,,,,,,141 mg,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/filmj%C3%B6lk-onaka-naturell-1-5-1000g-arla-cultura/2018463
"YO-ghurt Hallon 0,1% 1000g Valio","27,90 kr","1kg 27,90 kr/kg",66 kcal,282 kJ,0.1 g,0 g,12 g,12 g,3.7 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/yo-ghurt-hallon-0-1-1000g-valio/2169149
Protein Milkshake Berry Cheesecake Laktosfri 330ml ProPud,"25,90 kr","0.33L 78,48 kr/l",58 kcal,244 kJ,1.5 g,0.9 g,4.9 g,4.9 g,6.1 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/protein-milkshake-berry-cheesecake-laktosfri-330ml-propud/2151755
Smör & Raps Mellan 57% 250g Bregott®,"43,90 kr","0.25kg 175,60 kr/kg",515 kcal,2118 kJ,57 g,19 g,0.3 g,0.3 g,0.2 g,1 g,,20 µg,,9.4 g,25 g,950 µg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sm%C3%B6r-raps-mellan-57-250g-bregott/2129107
"Yoghurt Mini Vanilj 0,1% 1000g Yoggi®","35,90 kr","1kg 35,90 kr/kg",34 kcal,144 kJ,0.1 g,0.1 g,4.1 g,3.8 g,3.7 g,0.1 g,,0.88 µg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/yoghurt-mini-vanilj-0-1-1000g-yoggi/2044957
Brie 500g Moulin,"73,00 kr","0.5kg 146,00 kr/kg",334 kcal,1382 kJ,30 g,21 g,0 g,0 g,16 g,1.3 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/brie-500g-moulin/1354418
Havredryck Barista Hasselnöt Glutenfri 3% 1000ml Oddlygood®,"31,90 kr","1L 31,90 kr/l",62 kcal,259 kJ,3 g,0.3 g,7.6 g,4.5 g,1.1 g,0.08 g,0.4 µg,1 µg,120 mg,,,,,,0.21 mg,22.5 µg,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-barista-hasseln%C3%B6t-glutenfri-3-1000ml-oddlygood/2169097
Halloumi orginal 200g Fontana,"42,90 kr","0.2kg 214,50 kr/kg",307 kcal,1284 kJ,24.5 g,16 g,3.1 g,2.6 g,18.5 g,2.5 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/halloumi-orginal-200g-fontana/2112923
Creamy Blue Blåmögelost 42% 150g Castello®,"47,90 kr","0.15kg 319,33 kr/kg",431 kcal,1779 kJ,42 g,27 g,0.5 g,0.5 g,13 g,1.6 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/creamy-blue-bl%C3%A5m%C3%B6gelost-42-150g-castello/1023613
Färskost Kantarell laktosfri 100g Creme Bonjour,"18,90 kr","0.1kg 189,00 kr/kg",228 kcal,944 kJ,20 g,16 g,7.8 g,5.3 g,3.5 g,1.6 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/f%C3%A4rskost-kantarell-laktosfri-100g-creme-bonjour/2044643
Smör Normalsaltat Svenskt 82% 500g Arla,"87,00 kr","0.5kg 174,00 kr/kg",739 kcal,3038 kJ,82 g,52 g,0.7 g,0.7 g,0.6 g,1.2 g,,,,1.9 g,20 g,723 µg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sm%C3%B6r-normalsaltat-svenskt-82-500g-arla/1268118
Mozzarella Riven 150g Galbani,"41,90 kr","0.15kg 279,33 kr/kg",321 kcal,1333 kJ,25 g,18 g,2 g,1 g,22 g,1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mozzarella-riven-150g-galbani/1339158
Äggvita Pastöriserad flytande 1kg Kronägg,"51,00 kr","1kg 51,00 kr/kg",47 kcal,198 kJ,0.5 g,0 g,1.8 g,0.9 g,9.7 g,1.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%A4ggvita-past%C3%B6riserad-flytande-1kg-kron%C3%A4gg/1455719
Juice Äpple & Fläder Ekologisk 850ml God Morgon®,"43,90 kr","0.85L 51,65 kr/l exkl pant",45 kcal,196 kJ,0 g,0 g,11 g,10 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-%C3%A4pple-fl%C3%A4der-ekologisk-850ml-god-morgon/2018623
Ägg Frigående M/L KRAV 6-p ICA I love eco,"35,90 kr","6 per frp 5,98 kr/st",140 kcal,600 kJ,10 g,3 g,0.5 g,0 g,12 g,0.4 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%A4gg-frig%C3%A5ende-m-l-krav-6-p-ica-i-love-eco/1357408
Burrata 100g Zeta,"47,90 kr","0.1kg 479,00 kr/kg",232 kcal,959 kJ,21 g,12 g,1.3 g,1.3 g,11 g,0.54 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/burrata-100g-zeta/1493556
Yoghurt Original Jordgubb 2% 200g Yoggi®,"14,90 kr","0.2kg 74,50 kr/kg",79 kcal,333 kJ,2 g,1.3 g,11 g,11 g,3.5 g,0.07 g,,0.93 µg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/yoghurt-original-jordgubb-2-200g-yoggi/1354132
Goudaost mild 28% ca 850g ICA Basic,Ca,"Ca 0.85kg 125,00 kr/kg",340 kcal,1450 kJ,28 g,19 g,0.5 g,0.5 g,23 g,2 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/goudaost-mild-28-ca-850g-ica-basic/1410911
Juice Brasilien Äpple Drakfrukt Guava Lime 1750ml Bravo,"53,00 kr","1.75L 30,29 kr/l",42 kcal,175 kJ,0 g,0 g,9.6 g,9.2 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-brasilien-%C3%A4pple-drakfrukt-guava-lime-1750ml-bravo/2141596
Protein Salted Caramel Pudding Laktosfri 200g Arla®,"20,90 kr","0.2kg 104,50 kr/kg",74 kcal,311 kJ,1.5 g,0.9 g,7.9 g,4.7 g,10 g,0.29 g,,1.5 µg,200 mg,,,,,,,,,,,,,,,,28.2 mg,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/protein-salted-caramel-pudding-laktosfri-200g-arla/2129140
"Proteinpudding Vanilj Maräng Laktosfri 1,3% 180g Valio PROfeel®","22,90 kr","0.18kg 127,22 kr/kg",80 kcal,337 kJ,1.3 g,0.8 g,6 g,4.5 g,11 g,0.21 g,,,300 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/proteinpudding-vanilj-mar%C3%A4ng-laktosfri-1-3-180g-valio-profeel/2112626
Juice Apelsin Röd Grape 1l God Morgon®,"40,90 kr","1L 40,90 kr/l",41 kcal,171 kJ,0 g,0 g,8.4 g,7.9 g,0.7 g,0 g,,,,,,,,23 mg,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-apelsin-r%C3%B6d-grape-1l-god-morgon/1201739
Räk&Kräftost tub 275g Kavli,"58,00 kr","0.275kg 210,91 kr/kg",190 kcal,800 kJ,14 g,9.1 g,0 g,0 g,16 g,3.3 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/r%C3%A4k-kr%C3%A4ftost-tub-275g-kavli/2112707
Havredryck 1l Oddlygood®,"19,90 kr","1L 19,90 kr/l",40 kcal,170 kJ,1 g,0.1 g,6.6 g,3.5 g,1.2 g,0.12 g,0.4 µg,1 µg,120 mg,,,,,,0.21 mg,22.5 µg,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-1l-oddlygood/2142040
Juice Orange Smooth utan fruktkött 900ml Tropicana,"46,90 kr","0.9L 52,11 kr/l exkl pant",40 kcal,172 kJ,0 g,0 g,9.3 g,8.6 g,0.8 g,0 g,,,,,,,0 g,30 mg,,,,200 mg,,,,,,,,,,13 µg,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-orange-smooth-utan-fruktk%C3%B6tt-900ml-tropicana/2038988
Färskost Gräslök 11% 200g Philadelphia,"29,90 kr","0.2kg 149,50 kr/kg",146 kcal,609 kJ,10 g,7 g,5.1 g,5.1 g,7.4 g,0.95 g,,,,,,,0.6 g,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/f%C3%A4rskost-gr%C3%A4sl%C3%B6k-11-200g-philadelphia/1024259
Vaniljsås Klassisk Laktosfri 10% 5dl Dreamy Dessert,"40,90 kr","0.5L 81,80 kr/l",170 kcal,750 kJ,10 g,6.4 g,17 g,14 g,3.2 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vaniljs%C3%A5s-klassisk-laktosfri-10-5dl-dreamy-dessert/2092203
Crème fraiche Laktosfri 32% 2dl ICA,"21,90 kr","0.2L 109,50 kr/l",310 kcal,1300 kJ,32 g,20 g,2.4 g,2.4 g,2.4 g,0.1 g,,,,,,300 µg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cr%C3%A8me-fraiche-laktosfri-32-2dl-ica/1428806
Crème fraiche Lätt Paprika & chili 11% 2dl ICA,"20,90 kr","0.2L 104,50 kr/l",140 kcal,580 kJ,11 g,7.1 g,5.5 g,4.4 g,2.6 g,1.3 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cr%C3%A8me-fraiche-l%C3%A4tt-paprika-chili-11-2dl-ica/1528080
Hallon björnbär måltidsdryck 2dl ICA,"8,90 kr","1L 8,90 kr/l drickklar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/hallon-bj%C3%B6rnb%C3%A4r-m%C3%A5ltidsdryck-2dl-ica/1514883
Havredyck iKaffe Vanilla 1000ml Oatly,"32,90 kr","1L 32,90 kr/l",72 kcal,300 kJ,3.2 g,0.3 g,9.2 g,5.1 g,1.1 g,0.1 g,0.24 µg,0.5 µg,120 mg,,,,0.8 g,,0.21 mg,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredyck-ikaffe-vanilla-1000ml-oatly/2151427
"Hushållsost mild 26% ca 1,1kg Arla",Ca,"Ca 1.1kg 179,00 kr/kg",337 kcal,1399 kJ,26 g,17 g,0 g,0 g,25 g,1.6 g,1.4 µg,,725 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/hush%C3%A5llsost-mild-26-ca-1-1kg-arla/1431959
Ost Herrgård mild skivad 28% 150g ICA,"38,90 kr","0.15kg 259,33 kr/kg",360 kcal,1500 kJ,28 g,18 g,0 g,0 g,27 g,1.2 g,,,750 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/ost-herrg%C3%A5rd-mild-skivad-28-150g-ica/2022196
Yoghurt Original Körsbär 2% 1000g Yoggi®,"36,90 kr","1kg 36,90 kr/kg",79 kcal,333 kJ,2 g,1.3 g,11 g,11 g,3.3 g,0.08 g,,0.91 µg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/yoghurt-original-k%C3%B6rsb%C3%A4r-2-1000g-yoggi/2134958
Lätt Crème fraiche Laktosfri 13% 2dl ICA,"20,90 kr","0.2L 104,50 kr/l",150 kcal,600 kJ,13 g,8.3 g,5.1 g,3.2 g,2.9 g,0.1 g,0.5 µg,,,0.3 g,4 g,140 µg,0 g,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4tt-cr%C3%A8me-fraiche-laktosfri-13-2dl-ica/1407323
Cream cheese Naturell 200g ICA,"27,90 kr","0.2kg 139,50 kr/kg",240 kcal,1000 kJ,23 g,15 g,3 g,3 g,5 g,0.8 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cream-cheese-naturell-200g-ica/1023430
Fruktdryck Strawsome Lemonad 850ml Brämhults,"51,00 kr","0.85L 60,00 kr/l exkl pant",41 kcal,172 kJ,0 g,0 g,9.4 g,9.2 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-strawsome-lemonad-850ml-br%C3%A4mhults/2151322
Fruktyoghurt Skogsbär Laktosfri 2% 1000g Lindahls,"37,90 kr","1kg 37,90 kr/kg",50 kcal,230 kJ,2 g,1.2 g,3.7 g,3.3 g,5 g,0.1 g,,0.9 µg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktyoghurt-skogsb%C3%A4r-laktosfri-2-1000g-lindahls/2107501
Crème fraiche 32% Ekologisk 2dl KRAV Arla Köket®,"21,90 kr","0.2L 109,50 kr/l",310 kcal,1300 kJ,32 g,20 g,2.4 g,2.4 g,2.4 g,0.1 g,,,,,,300 µg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cr%C3%A8me-fraiche-32-ekologisk-2dl-krav-arla-k%C3%B6ket/1343721
"Proteinmilkshake ProPud Vanilj Laktosfri 1,5% 330ml NJIE","26,90 kr","0.33L 81,52 kr/l",58 kcal,243 kJ,1.5 g,0.9 g,4.9 g,4.9 g,6.1 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/proteinmilkshake-propud-vanilj-laktosfri-1-5-330ml-njie/1527490
"Kvarg Naturell 0,2% 900g Lindahls","47,90 kr","0.9kg 53,22 kr/kg",60 kcal,250 kJ,0.3 g,0.2 g,3.4 g,3.4 g,11 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kvarg-naturell-0-2-900g-lindahls/2011439
"Lättyoghurt Naturell Laktosfri 0,4% 1l Valio","30,90 kr","1kg 30,90 kr/kg",46 kcal,196 kJ,0.4 g,0.2 g,5.2 g,5.2 g,4.7 g,0.13 g,,1 µg,140 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4ttyoghurt-naturell-laktosfri-0-4-1l-valio/1353734
Juice Blåbär Svartvinbär 900ml Innocent,"47,90 kr","0.9L 53,22 kr/l exkl pant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-bl%C3%A5b%C3%A4r-svartvinb%C3%A4r-900ml-innocent/2052877
Proteinmilkshake Cookies & Cream 330ml Barebells,"33,90 kr","0.33L 102,73 kr/l",58 kcal,245 kJ,1.4 g,0.9 g,3.8 g,3.7 g,7.3 g,0.2 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/proteinmilkshake-cookies-cream-330ml-barebells/2149774
"Chokladmjölk Ljus Pucko® 1,5% 1l Cocio","33,90 kr","1L 33,90 kr/l",65 kcal,272 kJ,1.5 g,1 g,9 g,8.9 g,3.6 g,0.08 g,,1 µg,119 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladmj%C3%B6lk-ljus-pucko-1-5-1l-cocio/1431937
Drickkvarg Strawberry Cream 330ml Lindahls,"25,90 kr","0.33L 78,48 kr/l",50 kcal,200 kJ,0.3 g,0.2 g,3.2 g,2.9 g,7.6 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/drickkvarg-strawberry-cream-330ml-lindahls/2141778
Kvarg Körsbär Laktosfri 7% 200g Valio,"20,90 kr","0.2kg 104,50 kr/kg",153 kcal,643 kJ,7 g,4.1 g,15 g,15 g,7.2 g,0.08 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kvarg-k%C3%B6rsb%C3%A4r-laktosfri-7-200g-valio/2107530
Grana Padano 12 mån 200g ICA,"77,00 kr","0.2kg 385,00 kr/kg",398 kcal,1654 kJ,29 g,18 g,0 g,0 g,33 g,1.5 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/grana-padano-12-m%C3%A5n-200g-ica/1506731
Smoothie Antioxidant 300ml Innocent,"33,90 kr","0.3L 113,00 kr/l exkl pant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/smoothie-antioxidant-300ml-innocent/2057759
Salamiost 18% 250g Fjällbrynt,"48,90 kr","0.25kg 195,60 kr/kg",220 kcal,900 kJ,17 g,11 g,0.4 g,0.1 g,15 g,2.4 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/salamiost-18-250g-fj%C3%A4llbrynt/1427826
Shot Ingefära 65ml RÅ,"15,90 kr","0.065L 244,62 kr/l",38 kcal,163 kJ,0 g,0 g,7 g,6 g,0.5 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/shot-ingef%C3%A4ra-65ml-r%C3%A5/2107610
Crème fraiche Lätt 13% 2dl ICA,"17,90 kr","0.2L 89,50 kr/l",150 kcal,600 kJ,13 g,8.3 g,5.1 g,3.2 g,2.9 g,0.1 g,,,,0.4 g,3.7 g,140 µg,0 g,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cr%C3%A8me-fraiche-l%C3%A4tt-13-2dl-ica/1528075
Smör & Raps Extrasaltat 75% 500g Bregott®,"69,00 kr","0.5kg 138,00 kr/kg",678 kcal,2789 kJ,75 g,33 g,0.4 g,0.4 g,0.4 g,1.8 g,,20 µg,,8.7 g,28 g,950 µg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sm%C3%B6r-raps-extrasaltat-75-500g-bregott/2129123
"Lingondryck Koncentrat 2,5dl Jokk","30,90 kr","1L 30,90 kr/l drickklar",40 kcal,170 kJ,0 g,0 g,9.8 g,9.8 g,0 g,0 g,,,,,,,,50 mg,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lingondryck-koncentrat-2-5dl-jokk/1269851
"Havredryck ""No"" Sugars 1000ml Oatly","25,90 kr","1L 25,90 kr/l",44 kcal,185 kJ,1.5 g,0.2 g,6.3 g,0 g,1 g,0.12 g,0.24 µg,1.1 µg,120 mg,,,,0.7 g,,0.21 mg,22.5 µg,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-no-sugars-1000ml-oatly/2119003
Juice Apelsin 850ml God Morgon®,"47,90 kr","0.85L 56,35 kr/l exkl pant",43 kcal,180 kJ,0 g,0 g,8.8 g,8.5 g,0 g,0 g,,,,,,,,25 mg,,,,,,,,,,,,,,21.8 µg,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-apelsin-850ml-god-morgon/2151837
