Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Fiber,Protein,Salt,Varav polyoler,Vitamin B12,Vitamin D,Folsyra,Selen,Vitamin A,Natrium,Kalcium,Järn,Material,Varav fleromättat fett,Varav enkelomättat fett,Vitamin C,Riboflavin,url
Wok Classic Style Findus,"39,90 kr","0.45kg 88,67 kr/kg",40 kcal,168 kJ,0.6 g,0.1 g,5.5 g,3.4 g,2.9 g,1.7 g,0.32 g,,,,,,267 µg,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/wok-classic-style-findus/2120441
Isglasspinne Kalas Cola Hallon 28-p Triumf Glass,"67,00 kr","28 per frp 2,39 kr/st",90 kcal,390 kJ,0.5 g,0.5 g,22 g,22 g,,0.5 g,0.03 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/isglasspinne-kalas-cola-hallon-28-p-triumf-glass/2081320
Grön sparris Fryst 200g ICA,"46,90 kr","0.2kg 234,50 kr/kg",20 kcal,80 kJ,0.5 g,0.5 g,2 g,1.5 g,2 g,2.5 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%B6n-sparris-fryst-200g-ica/1462726
Pan Pizza Classic Fryst 575g Grandiosa,"76,00 kr","0.575kg 132,17 kr/kg",212 kcal,894 kJ,7.3 g,3.4 g,25 g,2.1 g,,11 g,1.2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pan-pizza-classic-fryst-575g-grandiosa/2011332
Crispy Mini Filet 285g Hälsans Kök,"61,00 kr","0.285kg 214,04 kr/kg",245 kcal,1028 kJ,10.1 g,1 g,17.6 g,0.5 g,3.6 g,19.1 g,1.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/crispy-mini-filet-285g-h%C3%A4lsans-k%C3%B6k/2108524
Torskfilé Fryst 400g ICA,"103,00 kr","0.4kg 257,50 kr/kg",78 kcal,328 kJ,0.5 g,0.5 g,0 g,0 g,,18 g,0.2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/torskfil%C3%A9-fryst-400g-ica/1278535
Persilja Finhackad Fryst 40g ICA,"14,90 kr","0.04kg 372,50 kr/kg",40 kcal,170 kJ,0.5 g,0 g,3.3 g,1 g,4.1 g,4.1 g,0.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/persilja-finhackad-fryst-40g-ica/1475170
Hackad spenat Fryst Ekologisk 450g ICA I love eco,"22,90 kr","0.45kg 50,89 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/hackad-spenat-fryst-ekologisk-450g-ica-i-love-eco/1492571
Spagetti Bolognese 420g Leif Mannerström,"51,00 kr","0.42kg 121,43 kr/kg",174 kcal,726 kJ,8.4 g,2.5 g,16 g,1.2 g,1.5 g,7.3 g,1.2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/spagetti-bolognese-420g-leif-mannerstr%C3%B6m/2077922
Pan Pizza Choco Loco 160g Billys,"18,90 kr","0.16kg 118,13 kr/kg",283 kcal,1184 kJ,11 g,5.3 g,36 g,7.6 g,2.2 g,8.2 g,0.6 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pan-pizza-choco-loco-160g-billys/2143072
Glasskopa Svart 18cm Gastromax,"36,90 kr",,,,,,,,,,,,,,,,,,,,Plast,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glasskopa-svart-18cm-gastromax/1499186
Ingefära hackad fryst 40g ICA,"14,90 kr","0.04kg 372,50 kr/kg",33 kcal,138 kJ,0.5 g,0.1 g,6.3 g,0.9 g,2.3 g,0.9 g,0.08 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/ingef%C3%A4ra-hackad-fryst-40g-ica/2138905
"Gräddglass Vanilj 1,5l SIA Glass","55,00 kr","1.5L 36,67 kr/l",210 kcal,850 kJ,10 g,6.6 g,23 g,22 g,0.5 g,3.8 g,0.1 g,0.5 g,0 µg,0 µg,0 µg,0 µg,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%A4ddglass-vanilj-1-5l-sia-glass/1008735
Pizza pepperoni calabrese 540g Dr.Oetker,"74,00 kr","0.54kg 137,04 kr/kg",264 kcal,1108 kJ,11 g,4.9 g,28 g,2.9 g,2.3 g,12 g,1.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pizza-pepperoni-calabrese-540g-dr-oetker/1486843
Kladdkaka Marabou Fryst 420g Almondy,"44,90 kr","0.42kg 106,90 kr/kg",433 kcal,1813 kJ,20 g,4.9 g,59 g,37 g,,3.6 g,0.25 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kladdkaka-marabou-fryst-420g-almondy/2012415
Sandwich Laktosfri 6-p SIA Glass,"59,00 kr","6 per frp 9,83 kr/st",290 kcal,1200 kJ,11 g,6.3 g,42 g,22 g,0 g,5.5 g,0.3 g,0 g,0 µg,0 µg,0 µg,0 µg,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sandwich-laktosfri-6-p-sia-glass/2154296
Färdigmat Pan Pizza Texas bacon Fryst 170g Billys,"18,90 kr","0.17kg 111,18 kr/kg",249 kcal,1044 kJ,10 g,4.2 g,27 g,1.9 g,1.7 g,11 g,1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/f%C3%A4rdigmat-pan-pizza-texas-bacon-fryst-170g-billys/2033516
Pizzabullar med ost och skinka 480g Findus,"60,00 kr","0.48kg 125,00 kr/kg",238 kcal,1002 kJ,5.1 g,1.4 g,38 g,1.2 g,2.4 g,8.7 g,1.5 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pizzabullar-med-ost-och-skinka-480g-findus/2155548
Pan Pizza chili cheese 170g Billys,"18,90 kr","0.17kg 111,18 kr/kg",250 kcal,1048 kJ,10 g,4.4 g,27 g,1.6 g,1.6 g,11 g,1.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pan-pizza-chili-cheese-170g-billys/1520984
Mörk choklad 500ml Triumf Glass,"24,90 kr","0.5L 49,80 kr/l",220 kcal,950 kJ,12 g,6.8 g,23 g,21 g,,3.7 g,0.31 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/m%C3%B6rk-choklad-500ml-triumf-glass/2120080
Glass Mini Twister Mallooww 8-p Twister,"55,00 kr","8 per frp 6,88 kr/st",99 kcal,414 kJ,1.1 g,0.9 g,20 g,16 g,1 g,0.5 g,0.03 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-mini-twister-mallooww-8-p-twister/2154424
Pasta fyra ostar Måltid Fryst 390g Findus,"44,90 kr","0.39kg 115,13 kr/kg",131 kcal,548 kJ,5 g,2.6 g,15 g,2 g,1 g,5.9 g,0.81 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pasta-fyra-ostar-m%C3%A5ltid-fryst-390g-findus/1395978
Herrgårdsgrönsaker 550g Apetit,"36,90 kr","0.55kg 67,09 kr/kg",35 kcal,140 kJ,0 g,0 g,5.3 g,3.6 g,1.7 g,1.3 g,0.04 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/herrg%C3%A5rdsgr%C3%B6nsaker-550g-apetit/2054844
Vårrullar Kyckling 6-st 600g Daloon,"62,00 kr","0.6kg 103,33 kr/kg",179 kcal,749 kJ,7 g,0.7 g,22 g,1.9 g,2.2 g,6.3 g,1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/v%C3%A5rrullar-kyckling-6-st-600g-daloon/1509063
Glass Jordgubb & Lemon Curd 4-p Triumf Glass,"52,00 kr","4 per frp 13,00 kr/st",310 kcal,1250 kJ,22 g,18 g,25 g,24 g,,3 g,0.12 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-jordgubb-lemon-curd-4-p-triumf-glass/2154444
Pizzabullar med tomat och ost 480g Findus,"60,00 kr","0.48kg 125,00 kr/kg",236 kcal,996 kJ,5.1 g,1.5 g,38 g,1.3 g,2.5 g,8.3 g,1.5 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pizzabullar-med-tomat-och-ost-480g-findus/2155549
Fiskgratäng räksås Fryst 350g ICA,"38,90 kr","0.35kg 111,14 kr/kg",110 kcal,457 kJ,3.5 g,2.3 g,11 g,3.6 g,,8.1 g,1.2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fiskgrat%C3%A4ng-r%C3%A4ks%C3%A5s-fryst-350g-ica/1008852
Vongole Vit Venusmussla 450g ICA,"67,00 kr","0.45kg 148,89 kr/kg",84 kcal,354 kJ,0.7 g,0.2 g,4.1 g,0 g,,15.2 g,1 g,,,,,,,0.4 g,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vongole-vit-venusmussla-450g-ica/2139976
Kotlettrad Helstekt 420g Leif Mannerström,"51,00 kr","0.42kg 121,43 kr/kg",124 kcal,518 kJ,5.6 g,1.7 g,13 g,1.9 g,1.6 g,4.9 g,0.72 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kotlettrad-helstekt-420g-leif-mannerstr%C3%B6m/2077924
Bladspenat Fryst 400g ICA,"26,90 kr","0.4kg 67,25 kr/kg",30 kcal,100 kJ,0.5 g,0.5 g,0.6 g,0.5 g,3.8 g,3.2 g,0.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bladspenat-fryst-400g-ica/1300890
Chorizo 240g Farmers & Chefs,"53,00 kr","0.24kg 220,83 kr/kg",216 kcal,904 kJ,14 g,1 g,14 g,2.3 g,7.3 g,4.8 g,2.3 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chorizo-240g-farmers-chefs/2154358
Pirog Kebab 140g Gorbys,"17,90 kr","0.14kg 127,86 kr/kg",217 kcal,907 kJ,5.8 g,1.5 g,34 g,2.1 g,2.2 g,7.8 g,1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pirog-kebab-140g-gorbys/2143071
Hamburgare Pljeska Fryst 6x134g 798g Brajlovic,"205,00 kr","0.8kg 256,25 kr/kg",282 kcal,1167 kJ,24.2 g,,1.1 g,,,14.8 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/hamburgare-pljeska-fryst-6x134g-798g-brajlovic/1510040
Jordgubbar Fryst Ekologisk 250g ICA I love eco,"31,90 kr","0.25kg 127,60 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/jordgubbar-fryst-ekologisk-250g-ica-i-love-eco/1499603
Bacon & broccolipaj Fryst 220g Felix,"40,90 kr","0.22kg 185,91 kr/kg",263 kcal,1099 kJ,18 g,9.5 g,17 g,1.5 g,,8.3 g,0.92 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bacon-broccolipaj-fryst-220g-felix/1453782
Ärtor Fryst 600g ICA,"26,90 kr","0.6kg 44,83 kr/kg",70 kcal,280 kJ,0.5 g,0.5 g,7.2 g,4 g,6.5 g,5.2 g,0.2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%A4rtor-fryst-600g-ica/1346021
Blåbär Frysta 250g ICA,"38,90 kr","0.25kg 155,60 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bl%C3%A5b%C3%A4r-frysta-250g-ica/1123261
Kladdkaka Glutenfri Fryst 400g ICA,"32,90 kr","0.4kg 82,25 kr/kg",400 kcal,1657 kJ,14 g,1.9 g,62 g,42 g,,4.1 g,0.4 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kladdkaka-glutenfri-fryst-400g-ica/2002269
Lingon 250g KRAV ICA I love eco,"36,90 kr","0.25kg 147,60 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lingon-250g-krav-ica-i-love-eco/1528799
Delikatessköttb stuvade makaroner 380g Felix,"63,00 kr","0.38kg 165,79 kr/kg",131 kcal,548 kJ,4.8 g,2.3 g,16 g,2.3 g,,5.6 g,0.9 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/delikatessk%C3%B6ttb-stuvade-makaroner-380g-felix/2154606
Glasspinne Piggelin 55ml GB Glace,"11,90 kr",,91 kcal,382 kJ,0.5 g,0.1 g,22 g,21 g,0.5 g,0.5 g,0.01 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glasspinne-piggelin-55ml-gb-glace/1006419
Margherita 450g Tony´s pizza,"72,00 kr","0.45kg 160,00 kr/kg",259 kcal,1080 kJ,8.8 g,4.5 g,32.2 g,3.3 g,1.79 g,11.6 g,1.2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/margherita-450g-tony-s-pizza/2142935
Ärtor majs paprika Fryst 1kg ICA Basic,"32,90 kr","1kg 32,90 kr/kg",90 kcal,360 kJ,0.8 g,0 g,13 g,2.3 g,4.8 g,4.4 g,0.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%A4rtor-majs-paprika-fryst-1kg-ica-basic/1411052
Rigatoni Kyckling Pesto 380g Felix,"63,00 kr","0.38kg 165,79 kr/kg",135 kcal,564 kJ,4.5 g,1 g,17 g,1.6 g,,6.1 g,0.79 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/rigatoni-kyckling-pesto-380g-felix/2142915
Glass Kinastrut 1-p Fazer,"34,90 kr",,343 kcal,1435 kJ,17 g,6.8 g,43 g,30 g,,3.8 g,0.32 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-kinastrut-1-p-fazer/2154537
Butter Chicken Rice Indian Cube 350g Kitchen Joy,"52,00 kr","0.35kg 148,57 kr/kg",121 kcal,510 kJ,2.7 g,1.5 g,18 g,1.5 g,1 g,6 g,0.87 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/butter-chicken-rice-indian-cube-350g-kitchen-joy/2142772
Thai Cube Sweet & Sour chicken 350g Kitchen Joy,"52,00 kr","0.35kg 148,57 kr/kg",138 kcal,584 kJ,2.2 g,0.4 g,24 g,7.7 g,0.8 g,5.2 g,0.72 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/thai-cube-sweet-sour-chicken-350g-kitchen-joy/2073747
Glass Cookie Dough 465ml Ben & Jerrys,"80,00 kr","0.465L 172,04 kr/l",273 kcal,1145 kJ,15 g,9.2 g,31 g,25 g,,4.1 g,0.17 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-cookie-dough-465ml-ben-jerrys/2054705
Prinsesstårta Fryst 480g Frödinge,"83,00 kr","0.48kg 172,92 kr/kg",293 kcal,1225 kJ,15 g,7.7 g,35 g,21 g,,0.9 g,0.21 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/prinsesst%C3%A5rta-fryst-480g-fr%C3%B6dinge/1006413
Kyckling Curry 390g Findus,"44,90 kr","0.39kg 115,13 kr/kg",92 kcal,387 kJ,1.8 g,0.6 g,13 g,2.8 g,1.1 g,5.3 g,0.55 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kyckling-curry-390g-findus/2108494
fryst Torskryggfilé 420g Royal Greenland,"163,00 kr","0.42kg 388,10 kr/kg",77 kcal,325 kJ,0.5 g,0.3 g,0 g,0 g,,18 g,0.2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fryst-torskryggfil%C3%A9-420g-royal-greenland/2044570
Ryggfilé av Torsk Fryst 3-p 420g ICA,"146,00 kr","0.42kg 347,62 kr/kg",78 kcal,328 kJ,0.5 g,0.5 g,0 g,0 g,,18 g,0.2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/ryggfil%C3%A9-av-torsk-fryst-3-p-420g-ica/1278557
Glass Finaste Pistage 500ml SIA Glass,"63,00 kr","0.5L 126,00 kr/l",280 kcal,1150 kJ,18 g,9.2 g,24 g,22 g,0 g,4.2 g,0.1 g,0 g,0 µg,0 µg,0 µg,0 µg,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-finaste-pistage-500ml-sia-glass/2154435
Pizza Tradizionale Quattro Formaggi Fryst 380g Dr. Oetker,"60,00 kr","0.38kg 157,89 kr/kg",244 kcal,1026 kJ,9.2 g,4.4 g,30 g,3.4 g,1.8 g,9.8 g,1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pizza-tradizionale-quattro-formaggi-fryst-380g-dr-oetker/2093802
Pepperonipizza 500g Tony´s pizza,"72,00 kr","0.5kg 144,00 kr/kg",277 kcal,1160 kJ,9.31 g,4.27 g,34.4 g,5.31 g,1.76 g,12.6 g,1.65 g,,,,,,,,,,,1.36 g,3.26 g,,,https://handlaprivatkund.ica.se/stores/1004181/products/pepperonipizza-500g-tony-s-pizza/2108385
Glass Hockeypulver 1-p Triumf Glass,"25,90 kr",,310 kcal,1300 kJ,19 g,10 g,32 g,31 g,,2.1 g,0.23 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-hockeypulver-1-p-triumf-glass/2130082
Extra allt Hawaii Minipizza Fryst 165g Grandiosa,"27,90 kr","0.165kg 169,09 kr/kg",230 kcal,950 kJ,8.9 g,4 g,25 g,2.7 g,,11 g,1.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/extra-allt-hawaii-minipizza-fryst-165g-grandiosa/1471165
Pizza Ristorante Hawaii Fryst 355g Dr. Oetker,"48,90 kr","0.355kg 137,75 kr/kg",208 kcal,873 kJ,7.6 g,2.7 g,25 g,5 g,2.2 g,8.7 g,1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pizza-ristorante-hawaii-fryst-355g-dr-oetker/2093808
Äkta Vanilj Laktosfri 1.75l Triumf Glass,"39,00 kr","1.75L 22,29 kr/l",190 kcal,800 kJ,9.8 g,6.4 g,23 g,18 g,,3.1 g,0.19 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%A4kta-vanilj-laktosfri-1-75l-triumf-glass/2142357
Creamy Garlic Chicken 350g Dafgård,"51,00 kr","0.35kg 145,71 kr/kg",143 kcal,597 kJ,5.4 g,2.7 g,14 g,1.7 g,1.4 g,7.9 g,1.3 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/creamy-garlic-chicken-350g-dafg%C3%A5rd/2077933
Vegokorv Glutenfri Fryst 840g Anamma,"114,00 kr","0.84kg 135,71 kr/kg",174 kcal,729 kJ,12 g,0.9 g,4.8 g,1.4 g,4.5 g,11 g,1.5 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vegokorv-glutenfri-fryst-840g-anamma/2011353
Glasspinne Nogger 87ml GB Glace,"22,90 kr",,352 kcal,1463 kJ,25 g,15 g,27 g,25 g,0.9 g,3.8 g,0.16 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glasspinne-nogger-87ml-gb-glace/1128646
Blomkål Fryst 600g ICA,"37,90 kr","0.6kg 63,17 kr/kg",20 kcal,90 kJ,0.1 g,0.1 g,3 g,1 g,2 g,1 g,0.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/blomk%C3%A5l-fryst-600g-ica/1442587
Sojabönor Fryst 250g ICA,"27,90 kr","0.25kg 111,60 kr/kg",110 kcal,450 kJ,3 g,0 g,9 g,1 g,4 g,8 g,,,,,,,,0.7 g,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sojab%C3%B6nor-fryst-250g-ica/1462729
Gräddglass Glassbåtar 6-p 840ml Sia Glass,"59,00 kr","6 per frp 9,83 kr/st",250 kcal,1050 kJ,13 g,9.9 g,29 g,24 g,0 g,4 g,0.1 g,0 g,0 µg,0 µg,0 µg,0 µg,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%A4ddglass-glassb%C3%A5tar-6-p-840ml-sia-glass/2014811
Frukt & bär Fryst 250g ICA,"30,90 kr","0.25kg 123,60 kr/kg",50 kcal,220 kJ,0.4 g,0.05 g,11 g,9 g,2 g,0.5 g,,,,,,,,0.002 g,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/frukt-b%C3%A4r-fryst-250g-ica/1318257
Glass Vanilj Vegansk 750ml Laktosfri Choice,"42,90 kr","0.75L 57,20 kr/l",92 kcal,389 kJ,3.1 g,2.6 g,15 g,12 g,,0.54 g,0.11 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-vanilj-vegansk-750ml-laktosfri-choice/1529572
Pommes strips Fryst 1kg ICA,"33,90 kr","1kg 33,90 kr/kg",150 kcal,600 kJ,4.4 g,0.5 g,23 g,0.5 g,3 g,2.2 g,0.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pommes-strips-fryst-1kg-ica/1365759
Wokgrönsaker Fryst 1kg ICA Basic,"32,90 kr","1kg 32,90 kr/kg",30 kcal,120 kJ,0.5 g,0 g,3.7 g,1.7 g,3.1 g,1.4 g,0.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/wokgr%C3%B6nsaker-fryst-1kg-ica-basic/1410819
Pulled BBQ Chunks 280g Oumph,"55,00 kr","0.28kg 196,43 kr/kg",115 kcal,480 kJ,0 g,0 g,11 g,9.4 g,4.7 g,14 g,1.5 g,,,,,,,,,2.4 mg,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pulled-bbq-chunks-280g-oumph/2094012
Potatisbullar 800g ICA,"44,90 kr","0.8kg 56,13 kr/kg",168 kcal,701 kJ,8.5 g,1 g,20 g,0.5 g,1.3 g,2.1 g,0.9 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/potatisbullar-800g-ica/2065189
Bröd Limpan Glutenfri Fryst 500g Fria,"40,90 kr","0.5kg 81,80 kr/kg",270 kcal,1150 kJ,3.7 g,0.6 g,56 g,9.4 g,4.7 g,0.9 g,1.3 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/br%C3%B6d-limpan-glutenfri-fryst-500g-fria/2033535
Blåmusselkött Fryst 200g ICA,"36,90 kr","0.2kg 184,50 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bl%C3%A5musselk%C3%B6tt-fryst-200g-ica/1417702
Paj Västerbottensost 240g Dafgård,"51,00 kr","0.24kg 212,50 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/paj-v%C3%A4sterbottensost-240g-dafg%C3%A5rd/2054854
Fettucine alla bolognese Måltid Fryst 380g Felix,"63,00 kr","0.38kg 165,79 kr/kg",119 kcal,496 kJ,3.8 g,1.4 g,15 g,2.6 g,,5.1 g,0.95 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fettucine-alla-bolognese-m%C3%A5ltid-fryst-380g-felix/1402644
Vegobullar Glutenfri Fryst 900g Anamma,"114,00 kr","0.9kg 126,67 kr/kg",160 kcal,668 kJ,10 g,0.8 g,4.7 g,0.7 g,4.2 g,11 g,1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vegobullar-glutenfri-fryst-900g-anamma/2011325
Caesarpaj 240g Dafgård,"41,90 kr","0.24kg 174,58 kr/kg",295 kcal,1233 kJ,19 g,9.8 g,20 g,2.9 g,1.3 g,10 g,1.2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/caesarpaj-240g-dafg%C3%A5rd/2130241
Pizza Ståtlig Sparris 310g Grandiosa,"65,00 kr","0.31kg 209,68 kr/kg",242 kcal,1012 kJ,12 g,6.8 g,23 g,1.1 g,,9.7 g,0.9 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pizza-st%C3%A5tlig-sparris-310g-grandiosa/2119836
Buffalo wings BBQ Fryst 500g Guldfågeln,"51,00 kr","0.5kg 102,00 kr/kg",230 kcal,950 kJ,15 g,5 g,2 g,1 g,,21 g,1.6 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/buffalo-wings-bbq-fryst-500g-guldf%C3%A5geln/1008705
Räkor med skal 70-90st/kg Fryst 500g Pandalus,"94,00 kr","0.5kg 188,00 kr/kg",100 kcal,380 kJ,0.7 g,0.5 g,0.9 g,0 g,,20 g,2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/r%C3%A4kor-med-skal-70-90st-kg-fryst-500g-pandalus/1008715
Glasspinne Almond 100ml Magnum,"33,90 kr",,335 kcal,1399 kJ,21 g,13 g,31 g,26 g,,4.8 g,0.11 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glasspinne-almond-100ml-magnum/2054646
Kolasås 300g ICA,"38,90 kr","0.3kg 129,67 kr/kg",325 kcal,1373 kJ,7 g,6.5 g,64 g,39 g,,1.5 g,0.3 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kolas%C3%A5s-300g-ica/1278644
Kanelbullar Glutenfri Fryst 5-p 220g Hans & Greta,"61,00 kr","0.22kg 277,27 kr/kg",330 kcal,1400 kJ,8.5 g,4 g,59 g,20 g,,4 g,0.64 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kanelbullar-glutenfri-fryst-5-p-220g-hans-greta/1443339
Blåbär odlade 500g ICA Basic,"48,90 kr","0.5kg 97,80 kr/kg",50 kcal,210 kJ,0.5 g,0 g,12 g,8.5 g,2.7 g,0.5 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bl%C3%A5b%C3%A4r-odlade-500g-ica-basic/1509035
Pizzarulle Kebab 155g Grandiosa,"27,90 kr","0.155kg 180,00 kr/kg",225 kcal,941 kJ,8.9 g,3.4 g,25 g,1.5 g,,10 g,0.99 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pizzarulle-kebab-155g-grandiosa/2143257
Gräddglass Vår finaste Valnöt 500ml SIA Glass,"63,00 kr","0.5L 126,00 kr/l",280 kcal,1200 kJ,17 g,8.7 g,25 g,23 g,0 g,4.4 g,0.1 g,0 g,0 µg,0 µg,0 µg,0 µg,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%A4ddglass-v%C3%A5r-finaste-valn%C3%B6t-500ml-sia-glass/2054670
